Sex,Age,Estimate,IFR,Source,Age_int
t,0,Central,4.8320198445020603e-4,Spain,5
t,5,Central,5.708223026167269e-5,Spain,5
t,10,Central,3.3664531477780055e-5,Spain,5
t,15,Central,4.6268298054520075e-5,Spain,5
t,20,Central,9.600050472007382e-5,Spain,5
t,25,Central,1.426337167702182e-4,Spain,5
t,30,Central,2.732227852668241e-4,Spain,5
t,35,Central,2.934477195629958e-4,Spain,5
t,40,Central,5.355198979593569e-4,Spain,5
t,45,Central,8.199367390753874e-4,Spain,5
t,50,Central,0.0017056215135614501,Spain,5
t,55,Central,0.0030009491655100824,Spain,5
t,60,Central,0.006427006874060286,Spain,5
t,65,Central,0.014503706948059848,Spain,5
t,70,Central,0.024063249866300724,Spain,5
t,75,Central,0.05266798162919312,Spain,5
t,80,Central,0.13404175682732597,Spain,5
t,85,Central,0.20347648282818664,Spain,5
t,90,Central,0.48890097972116797,Spain,5
m,0,Central,0.0011197073416239758,Spain,5
m,5,Central,5.321007812637198e-5,Spain,5
m,10,Central,2.9093427586269618e-5,Spain,5
m,15,Central,1.1423726540737956e-4,Spain,5
m,20,Central,2.773754446072211e-4,Spain,5
m,25,Central,1.633025455224054e-4,Spain,5
m,30,Central,4.1215312954193285e-4,Spain,5
m,35,Central,3.660112843836257e-4,Spain,5
m,40,Central,6.206187132605149e-4,Spain,5
m,45,Central,0.0011353606431972866,Spain,5
m,50,Central,0.0020627070100083826,Spain,5
m,55,Central,0.004084670863140564,Spain,5
m,60,Central,0.008736507524492955,Spain,5
m,65,Central,0.020885687441702803,Spain,5
m,70,Central,0.03330254364003638,Spain,5
m,75,Central,0.07327164759027667,Spain,5
m,80,Central,0.19426886046215436,Spain,5
m,85,Central,0.2506070063227756,Spain,5
m,90,Central,0.5544911028387061,Spain,5
f,0,Central,1.9895231997378148e-4,Spain,5
f,5,Central,7.295422493386446e-5,Spain,5
f,10,Central,3.785325496037088e-5,Spain,5
f,15,Central,4.881767832393841e-5,Spain,5
f,20,Central,1.2250972974738657e-4,Spain,5
f,25,Central,1.2442041561669495e-4,Spain,5
f,30,Central,1.6778687193515546e-4,Spain,5
f,35,Central,2.2480952656391502e-4,Spain,5
f,40,Central,3.254713995073102e-4,Spain,5
f,45,Central,5.390660252150688e-4,Spain,5
f,50,Central,8.56450691550607e-4,Spain,5
f,55,Central,0.0018737661721845936,Spain,5
f,60,Central,0.0031650849705422454,Spain,5
f,65,Central,0.00720620095826876,Spain,5
f,70,Central,0.015381482546711648,Spain,5
f,75,Central,0.03358024693263787,Spain,5
f,80,Central,0.09934485044939016,Spain,5
f,85,Central,0.17210087970069332,Spain,5
f,90,Central,0.4575759354549328,Spain,5
t,0,Lower,6.485079264989608e-4,Spain,5
t,5,Lower,7.159466168413186e-5,Spain,5
t,10,Lower,4.0210412598459504e-5,Spain,5
t,15,Lower,5.53916244314677e-5,Spain,5
t,20,Lower,1.1407118796149946e-4,Spain,5
t,25,Lower,1.735663300456872e-4,Spain,5
t,30,Lower,3.3014419886407906e-4,Spain,5
t,35,Lower,3.3996991900590986e-4,Spain,5
t,40,Lower,6.093847114709924e-4,Spain,5
t,45,Lower,9.257350279883406e-4,Spain,5
t,50,Lower,0.0018951350150682776,Spain,5
t,55,Lower,0.0033760678111988433,Spain,5
t,60,Lower,0.007238839321310006,Spain,5
t,65,Lower,0.01675983913998027,Spain,5
t,70,Lower,0.028159122183968936,Spain,5
