Sex,Age,Estimate,IFR
t,0,Central,7.499934959063184e-5
t,5,Central,5.708223026167269e-5
t,10,Central,3.3664531477780055e-5
t,15,Central,4.6268298054520075e-5
t,20,Central,9.600050472007382e-5
t,25,Central,1.426337167702182e-4
t,30,Central,2.0884044938529827e-4
t,35,Central,2.934477195629958e-4
t,40,Central,4.678947474527329e-4
t,45,Central,8.199367390753874e-4
t,50,Central,0.0013879275799382183
t,55,Central,0.0030009491655100824
t,60,Central,0.005689507974260492
t,65,Central,0.014503706948059848
t,70,Central,0.024063249866300724
t,75,Central,0.05266798162919312
t,80,Central,0.13404175682732597
t,85,Central,0.20347648282818664
t,90,Central,0.48890097972116797
m,0,Central,5.927945249389186e-5
m,5,Central,5.321007812637198e-5
m,10,Central,2.9093427586269618e-5
m,15,Central,4.354293444436069e-5
m,20,Central,7.865864079141893e-5
m,25,Central,1.633025455224054e-4
m,30,Central,2.5719426818276737e-4
m,35,Central,3.660112843836257e-4
m,40,Central,6.206187132605149e-4
m,45,Central,0.0011353606431972866
m,50,Central,0.0020085058318363826
m,55,Central,0.004084670863140564
m,60,Central,0.008322957372414978
m,65,Central,0.020885687441702803
m,70,Central,0.03330254364003638
m,75,Central,0.07327164759027667
m,80,Central,0.19426886046215436
m,85,Central,0.2506070063227756
m,90,Central,0.5544911028387061
f,0,Central,9.120459910866036e-5
f,5,Central,6.195968878374339e-5
f,10,Central,3.785325496037088e-5
f,15,Central,4.881767832393841e-5
f,20,Central,1.2250972974738657e-4
f,25,Central,1.2442041561669495e-4
f,30,Central,1.6778687193515546e-4
f,35,Central,2.2480952656391502e-4
f,40,Central,3.254713995073102e-4
f,45,Central,5.390660252150688e-4
f,50,Central,8.56450691550607e-4
f,55,Central,0.0018737661721845936
f,60,Central,0.0031650849705422454
f,65,Central,0.00720620095826876
f,70,Central,0.015381482546711648
f,75,Central,0.03358024693263787
f,80,Central,0.09934485044939016
f,85,Central,0.17210087970069332
f,90,Central,0.4575759354549328
t,0,Lower,1.0065702181900588e-4
t,5,Lower,7.159466168413186e-5
t,10,Lower,4.0210412598459504e-5
t,15,Lower,5.53916244314677e-5
t,20,Lower,1.1407118796149946e-4
t,25,Lower,1.735663300456872e-4
t,30,Lower,2.523488763405687e-4
t,35,Lower,3.3996991900590986e-4
t,40,Lower,5.324319539979375e-4
t,45,Lower,9.257350279883406e-4
t,50,Lower,0.001542141755486909
t,55,Lower,0.0033760678111988433
t,60,Lower,0.006408182665746027
t,65,Lower,0.01675983913998027
t,70,Lower,0.028159122183968936
t,75,Lower,0.06332697791129172
t,80,Lower,0.17076552582111396
t,85,Lower,0.27323984836927917
t,90,Lower,0.7840864769113072
m,0,Lower,9.132239978788745e-5
m,5,Lower,7.062428551318463e-5
m,10,Lower,3.7969388544792554e-5
m,15,Lower,5.779334935342419e-5
m,20,Lower,9.893148635621762e-5
m,25,Lower,2.1320054554314034e-4
m,30,Lower,3.373039582724818e-4
m,35,Lower,4.53853992635696e-4
m,40,Lower,7.463136425284671e-4
m,45,Lower,0.0013381036151968021
m,50,Lower,0.0023467804982509315
m,55,Lower,0.0047726154295642375
m,60,Lower,0.009770428219791499
m,65,Lower,0.025257110394617345
m,70,Lower,0.04078626131195467
m,75,Lower,0.09333412252570955
m,80,Lower,0.2765861742173045
m,85,Lower,0.42750606960944065
m,90,Lower,1.0693756983317901
f,0,Lower,1.4466936410339234e-4
f,5,Lower,8.336394490903656e-5
f,10,Lower,4.794745628313645e-5
f,15,Lower,6.070916406951315e-5
f,20,Lower,1.6334630632984878e-4
f,25,Lower,1.638707913000373e-4
f,30,Lower,2.1029287949206153e-4
f,35,Lower,2.725815509587469e-4
f,40,Lower,3.8532820861210285e-4
f,45,Lower,6.241817134069218e-4
f,50,Lower,9.864476715181099e-4
f,55,Lower,0.002182628728039197
f,60,Lower,0.003769651762668292
f,65,Lower,0.008614309191493691
f,70,Lower,0.018799589779314237
f,75,Lower,0.04241715402017416
f,80,Lower,0.13424979790458128
f,85,Lower,0.24692734913577738
f,90,Lower,0.7961821276915829
t,0,Upper,5.464238327317462e-5
t,5,Upper,4.6418516916085485e-5
t,10,Upper,2.8664848585040444e-5
t,15,Upper,3.89386666795466e-5
t,20,Upper,8.080042480606214e-5
t,25,Upper,1.1712199507147999e-4
t,30,Upper,1.7140678392944293e-4
t,35,Upper,2.534321214407691e-4
t,40,Upper,4.1358553569482645e-4
t,45,Upper,7.29604725448438e-4
t,50,Upper,0.0012429202208401955
t,55,Upper,0.0026565779497958113
t,60,Upper,0.0050731446103822716
t,65,Upper,0.012675508593262387
t,70,Upper,0.02084218492356756
t,75,Upper,0.04396253012023557
t,80,Upper,0.10564307953340099
t,85,Upper,0.15179991576071067
t,90,Upper,0.31245551335563365
m,0,Upper,3.975210343708042e-5
m,5,Upper,4.0044697971393354e-5
m,10,Upper,2.262822145598748e-5
m,15,Upper,3.3459307520403476e-5
m,20,Upper,6.272126912779809e-5
m,25,Upper,1.2686313453806703e-4
m,30,Upper,1.959575376630609e-4
m,35,Upper,3.012305260856389e-4
m,40,Upper,5.217590952190169e-4
m,45,Upper,9.606897750130888e-4
m,50,Upper,0.001714954979491065
m,55,Upper,0.0035147167892139734
m,60,Upper,0.007191035169766542
m,65,Upper,0.017517028176912027
m,70,Upper,0.02729306208093207
m,75,Upper,0.05807456512710817
m,80,Upper,0.13947507930616213
m,85,Upper,0.1524671996509194
m,90,Upper,0.29744224721811385
f,0,Upper,5.909030364786447e-5
f,5,Upper,4.6313302727242534e-5
f,10,Upper,3.021898505239692e-5
f,15,Upper,3.9460956645183546e-5
f,20,Upper,9.33407464741993e-5
f,25,Upper,9.462961187748633e-5
f,30,Upper,1.3366072849071704e-4
f,35,Upper,1.8480105149745553e-4
f,40,Upper,2.7705416652275164e-4
f,45,Upper,4.632598654191997e-4
f,50,Upper,7.465009406082992e-4
f,55,Upper,0.0016147903597688363
f,60,Upper,0.002662690530773635
f,65,Upper,0.006043910481128638
f,70,Upper,0.012721526918332941
f,75,Upper,0.026642179384572202
f,80,Upper,0.07358877811065938
f,85,Upper,0.12083678787495492
f,90,Upper,0.2708102475141439
