Age,IFR,Sex,Estimate,Type
0,0.0016994814486100552,t,Central,Ungrouped
1,0.0010276408048907869,t,Central,Ungrouped
2,6.213928517668059e-4,t,Central,Ungrouped
3,3.758798520071393e-4,t,Central,Ungrouped
4,2.295177107500174e-4,t,Central,Ungrouped
5,1.4402539949072679e-4,t,Central,Ungrouped
6,9.459369888580374e-5,t,Central,Ungrouped
7,6.62262352708022e-5,t,Central,Ungrouped
8,5.030300564294123e-5,t,Central,Ungrouped
9,4.153943673504985e-5,t,Central,Ungrouped
10,3.679530345725598e-5,t,Central,Ungrouped
11,3.4471356303234464e-5,t,Central,Ungrouped
12,3.3676552792257824e-5,t,Central,Ungrouped
13,3.383853169324797e-5,t,Central,Ungrouped
14,3.4753095848845764e-5,t,Central,Ungrouped
15,3.65282796887191e-5,t,Central,Ungrouped
16,3.935650879348422e-5,t,Central,Ungrouped
17,4.3536491906019726e-5,t,Central,Ungrouped
18,4.95112826089245e-5,t,Central,Ungrouped
19,5.755220648907708e-5,t,Central,Ungrouped
20,6.750700250647847e-5,t,Central,Ungrouped
21,7.88593463842994e-5,t,Central,Ungrouped
22,9.054479354969958e-5,t,Central,Ungrouped
23,1.0090779226987411e-4,t,Central,Ungrouped
24,1.0926501152038917e-4,t,Central,Ungrouped
25,1.1664773804808204e-4,t,Central,Ungrouped
26,1.2465520550978396e-4,t,Central,Ungrouped
27,1.353890388456879e-4,t,Central,Ungrouped
28,1.5162909563184223e-4,t,Central,Ungrouped
29,1.7474005138133278e-4,t,Central,Ungrouped
30,2.0337432566589994e-4,t,Central,Ungrouped
31,2.3445704697557941e-4,t,Central,Ungrouped
32,2.6258124227284156e-4,t,Central,Ungrouped
33,2.8044397735793955e-4,t,Central,Ungrouped
34,2.8607297695026456e-4,t,Central,Ungrouped
35,2.84799785498302e-4,t,Central,Ungrouped
36,2.830071542356999e-4,t,Central,Ungrouped
37,2.8708660790360504e-4,t,Central,Ungrouped
38,3.0380101914259807e-4,t,Central,Ungrouped
39,3.3624316289647594e-4,t,Central,Ungrouped
40,3.8287496651771537e-4,t,Central,Ungrouped
41,4.40850427860608e-4,t,Central,Ungrouped
42,5.044845356558173e-4,t,Central,Ungrouped
43,5.642746345896737e-4,t,Central,Ungrouped
44,6.155244191583487e-4,t,Central,Ungrouped
45,6.628272762037907e-4,t,Central,Ungrouped
46,7.137009768438186e-4,t,Central,Ungrouped
47,7.783116893310915e-4,t,Central,Ungrouped
48,8.702804164056489e-4,t,Central,Ungrouped
49,9.987823331475511e-4,t,Central,Ungrouped
50,0.0011644386099735442,t,Central,Ungrouped
51,0.001364303877104723,t,Central,Ungrouped
52,0.0015891652745224248,t,Central,Ungrouped
53,0.0018212581611660034,t,Central,Ungrouped
54,0.002050342521110527,t,Central,Ungrouped
55,0.002283855798614971,t,Central,Ungrouped
56,0.0025362938667527093,t,Central,Ungrouped
57,0.0028295695473247572,t,Central,Ungrouped
58,0.003194803780823283,t,Central,Ungrouped
59,0.0036606329463200527,t,Central,Ungrouped
60,0.004248284309673516,t,Central,Ungrouped
61,0.004982937086479047,t,Central,Ungrouped
62,0.005894415161275321,t,Central,Ungrouped
63,0.007016396371565223,t,Central,Ungrouped
64,0.008370428316006281,t,Central,Ungrouped
65,0.009949265513886415,t,Central,Ungrouped
66,0.01171276092019188,t,Central,Ungrouped
67,0.01357586777177218,t,Central,Ungrouped
68,0.01540506246040373,t,Central,Ungrouped
69,0.01713712908810808,t,Central,Ungrouped
70,0.0188463098350647,t,Central,Ungrouped
71,0.020667858911200893,t,Central,Ungrouped
72,0.022798842671488885,t,Central,Ungrouped
73,0.025512960554293317,t,Central,Ungrouped
74,0.029078707626642136,t,Central,Ungrouped
75,0.03373990307151377,t,Central,Ungrouped
76,0.03982636664249037,t,Central,Ungrouped
77,0.047792451967667036,t,Central,Ungrouped
78,0.05825201008151938,t,Central,Ungrouped
79,0.07165901378511823,t,Central,Ungrouped
80,0.08792826233291996,t,Central,Ungrouped
81,0.10633369933632997,t,Central,Ungrouped
82,0.12522329889893846,t,Central,Ungrouped
83,0.14197681590745473,t,Central,Ungrouped
84,0.15533787658005077,t,Central,Ungrouped
85,0.1666624576499222,t,Central,Ungrouped
86,0.17829156721041528,t,Central,Ungrouped
87,0.1933697537378563,t,Central,Ungrouped
88,0.21608381286223413,t,Central,Ungrouped
89,0.24989791613598109,t,Central,Ungrouped
90,0.29693407522105675,t,Central,Ungrouped
91,0.3597028270926427,t,Central,Ungrouped
92,0.4408019188244065,t,Central,Ungrouped
93,0.5423299007340368,t,Central,Ungrouped
94,0.6673425755716725,t,Central,Ungrouped
95,0.8211719703594861,t,Central,Ungrouped
96,1.0104606383407067,t,Central,Ungrouped
97,1.2433823102716541,t,Central,Ungrouped
98,1.5299948467415676,t,Central,Ungrouped
99,1.8826745496679271,t,Central,Ungrouped
100,2.316650587102291,t,Central,Ungrouped
0,0.002361381204990396,t,Lower,Ungrouped
1,0.0014082046589265283,t,Lower,Ungrouped
2,8.397798530925655e-4,t,Lower,Ungrouped
3,5.009889292229895e-4,t,Lower,Ungrouped
4,3.0172768542594523e-4,t,Lower,Ungrouped
5,1.867727984237206e-4,t,Lower,Ungrouped
6,1.2102611125382141e-4,t,Lower,Ungrouped
7,8.361170445317033e-5,t,Lower,Ungrouped
8,6.268242228800663e-5,t,Lower,Ungrouped
9,5.111790083347688e-5,t,Lower,Ungrouped
10,4.477095362947077e-5,t,Lower,Ungrouped
11,4.155046762113977e-5,t,Lower,Ungrouped
12,4.0315482950188246e-5,t,Lower,Ungrouped
13,4.0361757955373373e-5,t,Lower,Ungrouped
14,4.1423640821393996e-5,t,Lower,Ungrouped
15,4.3588912433542326e-5,t,Lower,Ungrouped
16,4.7048814996280194e-5,t,Lower,Ungrouped
17,5.2114857445105745e-5,t,Lower,Ungrouped
18,5.925107607804203e-5,t,Lower,Ungrouped
19,6.874152952222324e-5,t,Lower,Ungrouped
20,8.042325781571321e-5,t,Lower,Ungrouped
21,9.373919315641235e-5,t,Lower,Ungrouped
22,1.0754132833867834e-4,t,Lower,Ungrouped
23,1.2003829235838052e-4,t,Lower,Ungrouped
24,1.304982852549396e-4,t,Lower,Ungrouped
25,1.4007334857234514e-4,t,Lower,Ungrouped
26,1.5056883305347637e-4,t,Lower,Ungrouped
27,1.644018438739455e-4,t,Lower,Ungrouped
28,1.8481171521287824e-4,t,Lower,Ungrouped
29,2.13339559266684e-4,t,Lower,Ungrouped
30,2.482040825183064e-4,t,Lower,Ungrouped
31,2.854398846741347e-4,t,Lower,Ungrouped
32,3.182447015861399e-4,t,Lower,Ungrouped
33,3.376813537370974e-4,t,Lower,Ungrouped
34,3.416560412225902e-4,t,Lower,Ungrouped
35,3.370716082601158e-4,t,Lower,Ungrouped
36,3.318999695054385e-4,t,Lower,Ungrouped
37,3.3384520919710727e-4,t,Lower,Ungrouped
38,3.508064046918373e-4,t,Lower,Ungrouped
39,3.8619780858981686e-4,t,Lower,Ungrouped
40,4.380376924804256e-4,t,Lower,Ungrouped
41,5.029706147398075e-4,t,Lower,Ungrouped
42,5.744778166456955e-4,t,Lower,Ungrouped
43,6.417195629176327e-4,t,Lower,Ungrouped
44,6.992804925078115e-4,t,Lower,Ungrouped
45,7.522034570734732e-4,t,Lower,Ungrouped
46,8.087465726535482e-4,t,Lower,Ungrouped
47,8.800315366992635e-4,t,Lower,Ungrouped
48,9.808540146512897e-4,t,Lower,Ungrouped
49,0.0011211316646035044,t,Lower,Ungrouped
50,0.0013016516407352516,t,Lower,Ungrouped
51,0.0015196896006232014,t,Lower,Ungrouped
52,0.0017663348847592026,t,Lower,Ungrouped
53,0.0020241239882995287,t,Lower,Ungrouped
54,0.0022831092613302536,t,Lower,Ungrouped
55,0.0025510157231686398,t,Lower,Ungrouped
56,0.0028426250735319146,t,Lower,Ungrouped
57,0.003180308050452794,t,Lower,Ungrouped
58,0.0035959396556155725,t,Lower,Ungrouped
59,0.004120285446198474,t,Lower,Ungrouped
60,0.004778809067311713,t,Lower,Ungrouped
61,0.005603025154961612,t,Lower,Ungrouped
62,0.006632374433899663,t,Lower,Ungrouped
63,0.007914858207406667,t,Lower,Ungrouped
64,0.009484234368379908,t,Lower,Ungrouped
65,0.011336452703496452,t,Lower,Ungrouped
66,0.01342609113984648,t,Lower,Ungrouped
67,0.015649528304217557,t,Lower,Ungrouped
68,0.01783844969509216,t,Lower,Ungrouped
69,0.019908371843546914,t,Lower,Ungrouped
70,0.02194569725980124,t,Lower,Ungrouped
71,0.02411312260485127,t,Lower,Ungrouped
72,0.026650378511080194,t,Lower,Ungrouped
73,0.029892981776244502,t,Lower,Ungrouped
74,0.034178888820661946,t,Lower,Ungrouped
75,0.03983027011084882,t,Lower,Ungrouped
76,0.04729264274454598,t,Lower,Ungrouped
77,0.05719490513876218,t,Lower,Ungrouped
78,0.07041213430582563,t,Lower,Ungrouped
79,0.08765002893286342,t,Lower,Ungrouped
80,0.10891909073064737,t,Lower,Ungrouped
81,0.1333585615099827,t,Lower,Ungrouped
82,0.15878896307774876,t,Lower,Ungrouped
83,0.18159720621379336,t,Lower,Ungrouped
84,0.20005512307781254,t,Lower,Ungrouped
85,0.21620183793351533,t,Lower,Ungrouped
86,0.23358511338345456,t,Lower,Ungrouped
87,0.25710700097844114,t,Lower,Ungrouped
88,0.2936407571407806,t,Lower,Ungrouped
89,0.3496323402250163,t,Lower,Ungrouped
90,0.43019685805515573,t,Lower,Ungrouped
91,0.5418694120270829,t,Lower,Ungrouped
92,0.6921579204968202,t,Lower,Ungrouped
93,0.8883859749360472,t,Lower,Ungrouped
94,1.1404523741965118,t,Lower,Ungrouped
95,1.4640388913209599,t,Lower,Ungrouped
96,1.8794383034279907,t,Lower,Ungrouped
97,2.412701163426871,t,Lower,Ungrouped
98,3.097269483858005,t,Lower,Ungrouped
99,3.976073954394145,t,Lower,Ungrouped
100,5.104226213832502,t,Lower,Ungrouped
0,0.0011645527101452923,t,Upper,Ungrouped
1,7.216653080541848e-4,t,Upper,Ungrouped
2,4.4721102987598145e-4,t,Upper,Ungrouped
3,2.772301433026537e-4,t,Upper,Ungrouped
4,1.7342386426455385e-4,t,Upper,Ungrouped
5,1.1138664293956032e-4,t,Upper,Ungrouped
